Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,totalInducedCharge,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0004,0.04273227220536436,500,264,0,32612.0,1,0,0,18,690,2.4124339661645736e-12,2.2855399574806e-12,18724528.0,206,98671188.0,1e-14,253,2.2584093908279507e-14
0.0004,0.04273227220536436,500,614,0,15472.0,0,0,0,21,884,1.1075798476855825e-12,1.047323953820369e-12,18724528.0,535,41158378.0,1e-14,-1,9.420426496379725e-15
0.0004,0.04273227220536436,500,694,0,10010.0,0,0,0,12,832,6.649736595926611e-13,6.324718075287624e-13,18724528.0,569,27927463.0,1e-14,-1,6.392103508594638e-15
0.0004,0.04273227220536436,500,570,0,12637.0,0,0,0,22,789,8.465599078047251e-13,7.991477735702173e-13,18724528.0,463,24292934.0,1e-14,-1,5.560223950720409e-15
0.0004,0.04273227220536436,500,589,0,13479.0,0,0,0,23,845,9.350279927605926e-13,8.848383612071704e-13,18724528.0,509,35398293.0,1e-14,-1,8.102044674933815e-15
0.0004,0.04273227220536436,500,-1,0,9517.0,0,0,0,15,812,6.220666928035599e-13,5.924874739408898e-13,18724528.0,522,20618122.0,1e-14,-1,4.719124324928202e-15
0.0004,0.04273227220536436,500,630,0,14316.0,0,0,0,14,864,9.728016838181082e-13,9.225176700192802e-13,18724528.0,539,29499243.0,1e-14,-1,6.751856216985617e-15
0.0004,0.04273227220536436,500,570,0,14711.0,0,0,0,25,788,1.007817829327208e-12,9.510430493498163e-13,18724528.0,512,40866958.0,1e-14,-1,9.353725600402362e-15
0.0004,0.04273227220536436,500,548,0,20851.0,0,0,0,20,862,1.456663598533686e-12,1.3726221583783037e-12,18724528.0,489,47116780.0,1e-14,532,1.078419957987884e-14
0.0004,0.04273227220536436,500,578,0,12460.0,0,0,0,22,777,8.684080790226441e-13,8.203961135332249e-13,18724528.0,496,29592172.0,1e-14,-1,6.773126025379965e-15
0.0004,0.04273227220536436,500,635,0,15041.0,0,0,0,15,880,9.837847141866735e-13,9.290727756376207e-13,18724528.0,545,30771997.0,1e-14,-1,7.0431671502049336e-15
0.0004,0.04273227220536436,500,593,0,17096.0,0,0,0,24,796,1.1717583861786956e-12,1.0994766685916967e-12,18724528.0,504,39859788.0,1e-14,-1,9.123202158629252e-15
0.0004,0.04273227220536436,500,636,0,13582.0,0,0,0,21,865,9.337274832178559e-13,8.858037751886891e-13,18724528.0,538,31989548.0,1e-14,-1,7.321843090765411e-15
0.0004,0.04273227220536436,500,265,0,40444.0,1,0,0,18,750,2.8684446480215032e-12,2.7060389492969343e-12,18724528.0,207,93747363.0,1e-14,252,2.1457117245264832e-14
0.0004,0.04273227220536436,500,583,0,17039.0,0,0,0,20,795,1.1450622596245292e-12,1.0751921105596815e-12,18724528.0,513,39475170.0,1e-14,-1,9.035169884903968e-15
0.0004,0.04273227220536436,500,-1,0,3843.0,0,0,0,12,716,1.7030215011324117e-13,1.6504994223281788e-13,18724528.0,-1,6311417.0,1e-14,-1,1.444571988150297e-15
0.0004,0.04273227220536436,500,-1,0,6826.0,0,0,0,17,829,3.6942926179604173e-13,3.539241231804846e-13,18724528.0,-1,15693287.0,1e-14,-1,3.591916490734682e-15
0.0004,0.04273227220536436,500,577,0,20039.0,0,0,0,19,854,1.3785742430299032e-12,1.301038552351361e-12,18724528.0,494,39641043.0,1e-14,-1,9.073135287822283e-15
0.0004,0.04273227220536436,500,612,0,13807.0,0,0,0,21,810,9.501504603172024e-13,8.955545123700242e-13,18724528.0,524,31523403.0,1e-14,-1,7.215150725260751e-15
0.0004,0.04273227220536436,500,630,0,15059.0,0,0,0,13,900,1.1843705780350649e-12,1.1194768440643252e-12,18724528.0,566,36596400.0,1e-14,-1,8.376270226978111e-15
0.0004,0.04273227220536436,500,555,0,19842.0,0,0,0,18,820,1.374435835812453e-12,1.2938305840675105e-12,18724528.0,486,46006357.0,1e-14,552,1.0530043348275407e-14
0.0004,0.04273227220536436,500,551,0,21017.0,0,0,0,23,834,1.41796686682277e-12,1.32899893725626e-12,18724528.0,498,48106041.0,1e-14,535,1.1010623967551139e-14
0.0004,0.04273227220536436,500,556,0,22037.0,0,0,0,25,844,1.5554624554506068e-12,1.46363040383217e-12,18724528.0,504,58442386.0,1e-14,540,1.3376430956196855e-14
0.0004,0.04273227220536436,500,-1,0,9302.0,0,0,0,14,791,5.735849391949997e-13,5.468848513870263e-13,18724528.0,562,19411041.0,1e-14,-1,4.442844782627566e-15
0.0004,0.04273227220536436,500,551,0,18465.0,0,0,0,22,819,1.3307405519575122e-12,1.252047357210049e-12,18724528.0,498,47900792.0,1e-14,538,1.0963646093011098e-14
0.0004,0.04273227220536436,500,595,0,21648.0,0,0,0,18,906,1.476263250779339e-12,1.3904539060483618e-12,18724528.0,521,56889876.0,1e-14,603,1.302108881079223e-14
0.0004,0.04273227220536436,500,600,0,18816.0,0,0,0,18,904,1.2920165974370272e-12,1.2169562079579758e-12,18724528.0,541,45346641.0,1e-14,589,1.037904599637574e-14
0.0004,0.04273227220536436,500,550,0,17639.0,0,0,0,17,801,1.148489278280164e-12,1.077039035962682e-12,18724528.0,502,48251038.0,1e-14,537,1.1043811222420496e-14
0.0004,0.04273227220536436,500,552,0,21561.0,0,0,0,29,838,1.430442289341092e-12,1.3453601305164496e-12,18724528.0,491,48221356.0,1e-14,540,1.1037017536350903e-14
0.0004,0.04273227220536436,500,634,0,12058.0,0,0,0,22,805,7.288393216281579e-13,6.909694706081402e-13,18724528.0,501,25667574.0,1e-14,-1,5.874854791590362e-15
0.0004,0.04273227220536436,500,576,0,17837.0,0,0,0,19,844,1.189981264823067e-12,1.1169733305650607e-12,18724528.0,526,46171610.0,1e-14,565,1.056786684413344e-14
0.0004,0.04273227220536436,500,565,0,24518.0,0,0,0,17,836,1.8214822255545605e-12,1.7114790094098e-12,18724528.0,504,51827517.0,1e-14,554,1.1862404159570395e-14
0.0004,0.04273227220536436,500,584,0,18837.0,0,0,0,17,789,1.2368822685374325e-12,1.1636561791967058e-12,18724528.0,521,37866637.0,1e-14,-1,8.667005063309173e-15
