Dx,Dt,iNstep,thrCrossTimeStep,avalStatus,computeTime,streamer,classicStreamer,elecLimit,nCluster,size,finalChargesTot,totalInducedCharge,ElecThr,ElecThrReachedTime,ElecMax,InducedChargeThr,InducedChargeThrTime,ChargeMax
0.0002,0.018484056555360447,500,523,0,9499.0,0,0,0,6,719,8.236262524038075e-13,7.007656124699771e-13,18724528.0,440,40602568.0,1e-14,-1,8.340061507874185e-15
0.0002,0.018484056555360447,500,-1,0,11476.0,0,0,0,6,660,6.134669219497232e-13,5.213562873308807e-13,18724528.0,411,30789588.0,1e-14,-1,6.324404351027865e-15
0.0002,0.018484056555360447,500,464,0,18456.0,0,0,0,10,707,1.1397391923257748e-12,9.626537186694465e-13,18724528.0,396,54762309.0,1e-14,433,1.1248574853029297e-14
0.0002,0.018484056555360447,500,461,0,12612.0,0,0,0,6,709,9.399909269015261e-13,7.911093776795418e-13,18724528.0,382,40439091.0,1e-14,-1,8.306482148186321e-15
0.0002,0.018484056555360447,500,435,0,18880.0,0,0,0,10,715,1.128901655850481e-12,9.49247523224325e-13,18724528.0,367,66536008.0,1e-14,412,1.3666977891851781e-14
0.0002,0.018484056555360447,500,423,0,19717.0,0,0,0,16,670,1.1602058552937495e-12,9.78958879024752e-13,18724528.0,362,65167655.0,1e-14,396,1.3385908276144614e-14
0.0002,0.018484056555360447,500,474,0,20623.0,0,0,0,13,732,1.2297397062078923e-12,1.0303466502430788e-12,18724528.0,420,66737965.0,1e-14,449,1.3708461322208842e-14
0.0002,0.018484056555360447,500,444,0,24674.0,1,0,0,10,729,1.5213715732479827e-12,1.2748887789480597e-12,18724528.0,383,74646934.0,1e-14,421,1.5333020830953966e-14
0.0002,0.018484056555360447,500,471,0,16408.0,0,0,0,10,724,9.349819032841047e-13,7.926015046646584e-13,18724528.0,396,47475570.0,1e-14,-1,9.75182589242597e-15
0.0002,0.018484056555360447,500,455,0,22455.0,0,0,0,12,737,1.5494054375705534e-12,1.29935551952027e-12,18724528.0,400,76991546.0,1e-14,429,1.5814621115253707e-14
0.0002,0.018484056555360447,500,467,0,16994.0,0,0,0,10,689,9.864438475820008e-13,8.295390424917981e-13,18724528.0,387,51069143.0,1e-14,447,1.0489971811005209e-14
0.0002,0.018484056555360447,500,-1,0,5451.0,0,0,0,10,595,2.717060928973171e-13,2.364736782454345e-13,18724528.0,-1,14305956.0,1e-14,-1,2.938546965032894e-15
0.0002,0.018484056555360447,500,-1,0,3227.0,0,0,0,5,584,1.7776754444361728e-13,1.5698494552499641e-13,18724528.0,-1,11550262.0,1e-14,-1,2.3725074609089212e-15
0.0002,0.018484056555360447,500,435,0,22195.0,0,0,0,9,688,1.371483400383474e-12,1.1464907141459833e-12,18724528.0,372,68763735.0,1e-14,411,1.4124569150679351e-14
0.0002,0.018484056555360447,500,441,0,17881.0,0,0,0,12,718,1.4825680005917014e-12,1.2350652704384418e-12,18724528.0,389,79380949.0,1e-14,417,1.6305421795326428e-14
0.0002,0.018484056555360447,500,452,0,15397.0,0,0,0,7,682,8.956261074310165e-13,7.647977831448304e-13,18724528.0,377,53028986.0,1e-14,413,1.0892537756237462e-14
0.0002,0.018484056555360447,500,473,0,12745.0,0,0,0,17,711,9.300858043520074e-13,7.815027175829728e-13,18724528.0,390,43990412.0,1e-14,-1,9.035949199979831e-15
0.0002,0.018484056555360447,500,476,0,19691.0,0,0,0,6,745,1.1754494471521604e-12,9.929415223170707e-13,18724528.0,408,51303315.0,1e-14,441,1.0538072435660817e-14
0.0002,0.018484056555360447,500,439,0,22754.0,1,0,0,7,770,1.3633808274421971e-12,1.1583926438139655e-12,18724528.0,381,76539560.0,1e-14,414,1.572177991760586e-14
0.0002,0.018484056555360447,500,407,0,28203.0,1,0,0,16,706,1.711166525940502e-12,1.417903451705585e-12,18724528.0,349,82813431.0,1e-14,384,1.7010478455897034e-14
0.0002,0.018484056555360447,500,-1,0,4622.0,0,0,0,11,637,2.7737611517057856e-13,2.401273730188352e-13,18724528.0,-1,13061924.0,1e-14,-1,2.6830137830488455e-15
0.0002,0.018484056555360447,500,-1,0,10226.0,0,0,0,10,679,6.215250014229217e-13,5.285870077411061e-13,18724528.0,420,29565135.0,1e-14,-1,6.072892837433432e-15
0.0002,0.018484056555360447,500,-1,0,6252.0,0,0,0,12,614,3.508678869530232e-13,3.0252385150964396e-13,18724528.0,-1,16662870.0,1e-14,-1,3.4226741692227816e-15
0.0002,0.018484056555360447,500,436,0,20053.0,0,0,0,11,666,1.2176522833034873e-12,1.020891667158781e-12,18724528.0,372,61265238.0,1e-14,406,1.2584323563340889e-14
0.0002,0.018484056555360447,500,489,0,19168.0,0,0,0,10,744,1.3057291456297446e-12,1.092665794676346e-12,18724528.0,436,72756079.0,1e-14,466,1.494462552052749e-14
0.0002,0.018484056555360447,500,463,0,17589.0,0,0,0,11,665,1.0287703093143248e-12,8.627478054498279e-13,18724528.0,386,51469765.0,1e-14,445,1.0572262471078921e-14
